Date,Time,City,Latitude,Longitude,Severity,Weather,Road_Type,Lighting,Traffic_Density,Vehicles_Involved,Cause
2023-12-06,22:01,Mumbai,19.10455,72.80484,Low,Overcast,Urban,Night (Lit),High,2,Speeding
2023-08-25,18:11,Mumbai,19.02803,72.84317,Low,Rain,Rural,Dawn/Dusk,Medium,2,Vehicle Breakdown
2023-08-21,08:20,Bangalore,13.02385,77.57043,Medium,Fog,Highway,Daylight,High,2,Vehicle Breakdown
2023-08-04,17:16,Mumbai,19.07006,72.9275,Medium,Clear,Highway,Daylight,Medium,2,Speeding
2023-01-27,00:22,Delhi,28.73413,77.15875,Low,Clear,Rural,Night (Lit),Medium,2,Speeding
2023-11-30,20:02,Mumbai,19.16592,72.81757,Medium,Clear,Highway,Night (Lit),Medium,2,Speeding
2023-01-11,15:39,Delhi,28.65181,77.09721,Low,Clear,Urban,Daylight,High,1,Pothole
2023-02-28,19:36,Delhi,28.69711,77.05375,Medium,Overcast,Highway,Dawn/Dusk,Low,1,Drunk Driving
2023-07-08,23:10,Hyderabad,17.40645,78.53629,Low,Clear,Urban,Night (Lit),Medium,2,Speeding
2023-02-28,11:49,Delhi,28.79704,77.02412,Low,Clear,Urban,Daylight,Low,1,Weather Conditions
2023-01-14,20:59,Bangalore,12.98676,77.67621,Low,Clear,Urban,Night (Lit),Medium,1,Weather Conditions
2023-07-12,10:25,Delhi,28.6193,77.14062,Low,Overcast,Urban,Daylight,High,2,Speeding
2023-11-18,15:15,Mumbai,19.11544,72.83802,Low,Clear,Urban,Daylight,Low,1,Pothole
2023-12-17,11:38,Mumbai,19.13525,72.89089,Medium,Rain,Highway,Daylight,Medium,2,Speeding
2023-01-22,10:22,Hyderabad,17.37068,78.46081,Medium,Clear,Highway,Daylight,High,2,Speeding
2023-09-17,21:41,Bangalore,12.87413,77.57861,High,Rain,Highway,Night (Unlit),Medium,4,Drunk Driving
2023-09-08,01:06,Chennai,13.17486,80.29782,Medium,Clear,Highway,Night (Lit),Medium,2,Weather Conditions
2023-08-24,22:45,Delhi,28.6912,77.14926,Medium,Clear,Urban,Night (Unlit),Medium,1,Weather Conditions
2023-11-30,18:17,Hyderabad,17.44664,78.49433,Low,Clear,Urban,Dawn/Dusk,Medium,3,Speeding
2023-09-05,20:29,Chennai,13.14785,80.28919,Low,Clear,Urban,Night (Lit),High,2,Signal Violation
2023-06-15,02:54,Delhi,28.77025,77.01983,Medium,Rain,Highway,Night (Lit),Medium,2,Speeding
2023-08-19,23:15,Chennai,13.09667,80.30434,Medium,Clear,Highway,Night (Lit),Low,1,Vehicle Breakdown
2023-06-22,18:01,Chennai,13.15289,80.20707,Low,Clear,Urban,Dawn/Dusk,Medium,1,Signal Violation
2023-04-19,01:22,Bangalore,12.93967,77.67066,Low,Fog,Urban,Night (Lit),High,2,Weather Conditions
2023-12-26,10:56,Bangalore,12.98276,77.59793,Low,Clear,Urban,Daylight,High,1,Weather Conditions
2023-04-08,10:05,Delhi,28.74811,77.10022,Low,Clear,Urban,Daylight,High,2,Speeding
2023-05-04,12:44,Chennai,13.11188,80.26886,Medium,Rain,Highway,Daylight,Medium,2,Weather Conditions
2023-01-09,19:05,Bangalore,12.91592,77.63296,Medium,Rain,Highway,Dawn/Dusk,High,1,Speeding
2023-06-06,18:42,Hyderabad,17.3588,78.49739,Low,Clear,Urban,Dawn/Dusk,Low,2,Speeding
2023-06-26,08:27,Hyderabad,17.35116,78.52727,Low,Rain,Urban,Daylight,Low,2,Weather Conditions
2023-05-19,12:19,Bangalore,12.91771,77.63886,Low,Rain,Urban,Daylight,High,2,Drunk Driving
2023-06-11,14:07,Hyderabad,17.47518,78.52473,Medium,Overcast,Highway,Daylight,Low,2,Vehicle Breakdown
2023-04-09,10:13,Chennai,13.038,80.28862,Low,Fog,Urban,Daylight,Medium,2,Signal Violation
2023-09-26,19:38,Bangalore,13.0677,77.66113,Low,Clear,Urban,Dawn/Dusk,High,3,Speeding
2023-06-01,22:14,Bangalore,12.90749,77.49743,Medium,Overcast,Highway,Night (Lit),High,3,Weather Conditions
2023-10-01,03:08,Bangalore,12.8807,77.50551,Low,Overcast,Rural,Night (Lit),Medium,2,Vehicle Breakdown
2023-05-30,21:44,Delhi,28.73167,77.15306,High,Fog,Highway,Night (Unlit),Medium,2,Weather Conditions
2023-02-22,09:55,Mumbai,19.09081,72.87158,Low,Rain,Urban,Daylight,Low,1,Pothole
2023-08-14,13:21,Delhi,28.7972,77.053,Low,Rain,Urban,Daylight,Medium,2,Weather Conditions
2023-09-02,18:07,Mumbai,19.05614,72.79252,Low,Clear,Urban,Dawn/Dusk,Medium,2,Speeding
2023-11-19,17:43,Mumbai,19.00635,72.93993,Low,Rain,Rural,Daylight,High,2,Weather Conditions
2023-06-05,15:05,Delhi,28.62779,77.15539,Low,Rain,Urban,Daylight,Medium,2,Vehicle Breakdown
2023-11-07,15:38,Hyderabad,17.33014,78.49121,Medium,Rain,Highway,Daylight,Medium,2,Speeding
2023-08-19,12:58,Chennai,13.04217,80.28841,Medium,Clear,Highway,Daylight,Medium,3,Speeding
2023-08-08,15:19,Hyderabad,17.40921,78.50863,Medium,Rain,Highway,Daylight,Medium,2,Vehicle Breakdown
2023-02-20,07:48,Delhi,28.7292,77.05543,Low,Fog,Rural,Daylight,Medium,2,Weather Conditions
2023-02-11,10:10,Delhi,28.63886,77.01751,Low,Clear,Rural,Daylight,High,2,Pothole
2023-01-02,17:26,Chennai,13.12057,80.26468,Medium,Clear,Highway,Daylight,Medium,2,Speeding
2023-01-17,14:14,Bangalore,13.01299,77.6352,Low,Overcast,Urban,Daylight,Low,3,Vehicle Breakdown
2023-08-21,10:04,Delhi,28.78888,77.16007,Low,Rain,Urban,Daylight,Medium,2,Speeding
2023-11-17,11:37,Delhi,28.68913,77.11141,Low,Clear,Urban,Daylight,Medium,1,Weather Conditions
2023-11-28,21:09,Bangalore,13.03693,77.50888,Low,Fog,Rural,Night (Lit),Low,2,Signal Violation
2023-03-26,19:50,Bangalore,12.99061,77.65945,Low,Clear,Urban,Dawn/Dusk,Medium,1,Speeding
2023-05-28,19:28,Mumbai,19.06974,72.83852,Medium,Clear,Highway,Dawn/Dusk,Medium,1,Pothole
2023-07-26,21:17,Hyderabad,17.393,78.47425,Low,Clear,Urban,Night (Lit),Medium,2,Speeding
2023-11-03,17:02,Chennai,13.12961,80.29144,Low,Fog,Urban,Daylight,Medium,2,Weather Conditions
2023-01-14,21:05,Delhi,28.79648,77.16969,Medium,Rain,Urban,Night (Unlit),High,2,Weather Conditions
2023-10-22,10:37,Mumbai,19.17591,72.91216,Medium,Fog,Highway,Daylight,High,1,Signal Violation
2023-05-18,13:36,Mumbai,19.12862,72.81274,Low,Clear,Urban,Daylight,High,2,Signal Violation
2023-09-23,00:41,Chennai,13.16591,80.207,Low,Overcast,Urban,Night (Lit),High,2,Speeding
2023-10-27,17:27,Chennai,13.17651,80.2647,Low,Clear,Urban,Daylight,High,3,Weather Conditions
2023-07-29,14:21,Bangalore,13.00563,77.66615,Medium,Overcast,Highway,Daylight,High,2,Vehicle Breakdown
2023-06-18,06:26,Chennai,13.04034,80.35974,Medium,Rain,Highway,Daylight,Medium,2,Weather Conditions
2023-10-09,18:02,Chennai,13.00031,80.22118,Low,Fog,Rural,Dawn/Dusk,Low,2,Vehicle Breakdown
2023-03-01,09:49,Chennai,13.15568,80.33569,Medium,Clear,Highway,Daylight,High,2,Speeding
2023-01-01,20:42,Hyderabad,17.3774,78.39754,Low,Clear,Rural,Night (Lit),Medium,2,Drunk Driving
2023-09-23,10:23,Hyderabad,17.43629,78.51178,Medium,Rain,Highway,Daylight,High,2,Speeding
2023-01-27,19:13,Bangalore,12.98144,77.68013,Medium,Overcast,Highway,Dawn/Dusk,Medium,3,Drunk Driving
2023-08-13,15:56,Chennai,13.00699,80.36533,Medium,Clear,Highway,Daylight,High,2,Vehicle Breakdown
2023-11-08,22:51,Delhi,28.74606,77.06465,Low,Clear,Urban,Night (Lit),Medium,2,Speeding
2023-01-08,16:35,Chennai,13.00134,80.36915,Low,Clear,Urban,Daylight,High,2,Signal Violation
2023-02-28,21:29,Mumbai,19.10554,72.80849,High,Clear,Highway,Night (Unlit),High,3,Vehicle Breakdown
2023-05-30,20:32,Bangalore,12.9547,77.5911,Low,Clear,Urban,Night (Lit),Low,1,Drunk Driving
2023-08-30,17:15,Chennai,13.09295,80.24742,Medium,Clear,Highway,Daylight,Low,2,Signal Violation
2023-11-03,16:32,Delhi,28.77691,77.05775,Low,Clear,Urban,Daylight,Low,2,Drunk Driving
2023-08-01,13:21,Hyderabad,17.33843,78.38721,Medium,Fog,Urban,Daylight,High,2,Speeding
2023-06-02,08:53,Hyderabad,17.40098,78.51869,Medium,Overcast,Highway,Daylight,Medium,2,Drunk Driving
2023-03-18,19:28,Hyderabad,17.38187,78.45319,Low,Clear,Urban,Dawn/Dusk,Medium,1,Weather Conditions
2023-10-06,14:24,Chennai,13.16927,80.34462,Low,Clear,Urban,Daylight,Low,2,Speeding
2023-12-24,19:15,Hyderabad,17.36159,78.5579,Medium,Clear,Highway,Dawn/Dusk,High,2,Speeding
2023-07-30,19:02,Bangalore,13.02054,77.63565,Medium,Overcast,Highway,Dawn/Dusk,Low,2,Weather Conditions
2023-07-15,21:24,Delhi,28.70317,77.0099,Medium,Clear,Urban,Night (Unlit),High,2,Speeding
2023-09-15,17:37,Bangalore,13.04554,77.66944,Low,Clear,Urban,Daylight,High,2,Weather Conditions
2023-08-14,07:06,Hyderabad,17.46709,78.38977,Medium,Clear,Highway,Daylight,Low,1,Signal Violation
2023-03-15,23:26,Delhi,28.61907,77.15881,Low,Rain,Urban,Night (Lit),Low,2,Weather Conditions
2023-05-16,19:21,Hyderabad,17.42354,78.51667,Low,Overcast,Rural,Dawn/Dusk,Medium,1,Pothole
2023-06-18,19:54,Hyderabad,17.361,78.45003,Medium,Clear,Highway,Dawn/Dusk,Low,2,Drunk Driving
2023-09-07,19:55,Hyderabad,17.29218,78.40038,Low,Clear,Urban,Dawn/Dusk,High,3,Speeding
2023-11-20,04:43,Bangalore,13.07109,77.64395,Medium,Clear,Urban,Night (Unlit),Medium,2,Drunk Driving
2023-08-11,22:06,Mumbai,19.06474,72.9165,Low,Clear,Rural,Night (Lit),Medium,2,Speeding
2023-01-15,18:02,Bangalore,13.03083,77.55327,Low,Clear,Urban,Dawn/Dusk,High,1,Vehicle Breakdown
2023-07-11,11:27,Delhi,28.65294,77.08491,Low,Clear,Urban,Daylight,High,1,Drunk Driving
2023-12-16,21:50,Delhi,28.6381,77.01829,Low,Clear,Urban,Night (Lit),Medium,2,Speeding
2023-07-15,23:39,Delhi,28.70363,77.11913,Low,Clear,Urban,Night (Lit),High,3,Speeding
2023-04-29,16:29,Bangalore,12.96351,77.62797,Medium,Clear,Highway,Daylight,Medium,2,Weather Conditions
2023-08-27,21:57,Bangalore,13.00712,77.5262,Low,Rain,Urban,Night (Lit),Medium,1,Speeding
2023-08-15,03:22,Hyderabad,17.34483,78.57911,Medium,Clear,Urban,Night (Unlit),High,2,Signal Violation
2023-12-20,21:16,Chennai,13.15176,80.21054,Medium,Clear,Highway,Night (Lit),Low,3,Weather Conditions
2023-07-16,03:54,Chennai,13.00403,80.24697,Low,Overcast,Urban,Night (Lit),Medium,1,Weather Conditions
2023-07-03,10:36,Bangalore,13.07014,77.55365,Medium,Overcast,Highway,Daylight,High,2,Vehicle Breakdown
2023-12-04,21:25,Bangalore,12.87322,77.66761,Low,Clear,Urban,Night (Lit),Medium,1,Speeding
2023-01-26,13:58,Hyderabad,17.43403,78.55327,Low,Clear,Urban,Daylight,High,1,Vehicle Breakdown
2023-05-27,19:49,Delhi,28.72551,77.07296,Medium,Fog,Highway,Dawn/Dusk,Medium,2,Weather Conditions
2023-11-22,22:12,Hyderabad,17.33513,78.53782,Low,Rain,Urban,Night (Lit),Medium,1,Weather Conditions
2023-12-04,22:43,Delhi,28.72975,77.18318,Low,Clear,Urban,Night (Lit),High,2,Speeding
2023-11-27,08:02,Bangalore,13.02932,77.50127,Medium,Overcast,Highway,Daylight,High,2,Vehicle Breakdown
2023-07-06,21:46,Delhi,28.62213,77.06152,Medium,Rain,Urban,Night (Unlit),Medium,2,Weather Conditions
2023-08-01,19:11,Delhi,28.63053,77.11038,Low,Rain,Urban,Dawn/Dusk,High,2,Weather Conditions
2023-07-07,09:33,Hyderabad,17.4677,78.55279,Low,Clear,Urban,Daylight,Medium,2,Speeding
2023-05-12,19:58,Chennai,13.17618,80.22973,Medium,Clear,Highway,Dawn/Dusk,Medium,1,Speeding
2023-06-23,06:51,Mumbai,19.06967,72.79276,Low,Rain,Urban,Daylight,High,2,Weather Conditions
2023-04-26,21:55,Chennai,13.17615,80.33162,Low,Clear,Urban,Night (Lit),Medium,2,Speeding
2023-07-07,18:05,Chennai,12.98548,80.27801,Low,Rain,Urban,Dawn/Dusk,Medium,2,Signal Violation
2023-08-21,23:23,Bangalore,12.98851,77.65908,Low,Clear,Urban,Night (Lit),Low,1,Signal Violation
2023-07-10,22:06,Delhi,28.6984,77.12641,Medium,Clear,Highway,Night (Lit),High,1,Drunk Driving
2023-10-15,12:20,Hyderabad,17.32927,78.39934,Low,Fog,Urban,Daylight,Medium,2,Weather Conditions
2023-08-26,19:58,Bangalore,13.00145,77.51794,Medium,Clear,Highway,Dawn/Dusk,Medium,2,Speeding
2023-01-24,10:02,Bangalore,13.07079,77.51782,Medium,Rain,Highway,Daylight,Medium,1,Weather Conditions
2023-05-01,23:56,Hyderabad,17.31213,78.47743,Medium,Clear,Highway,Night (Lit),High,3,Pothole
